Gene	C3L-00017	C3L-00102	C3L-00277	C3L-00395	C3L-00589	C3L-00599	C3L-00622	C3L-00625	C3L-00640	C3L-00819	C3L-00881	C3L-00928	C3L-01031	C3L-01036	C3L-01051	C3L-01052	C3L-01053	C3L-01054	C3L-01328	C3L-01453	C3L-01598	C3L-01637	C3L-01689	C3L-01703	C3L-01971	C3L-02112	C3L-02115	C3L-02116	C3L-02463	C3L-02606	C3L-02610	C3L-02613	C3N-00198	C3N-00249	C3N-00436	C3N-00512	C3N-00513	C3N-00514	C3N-00517	C3N-00518	C3N-00954	C3N-00957	C3N-01011	C3N-01997	C3N-01998
ABCD3	15.096381246469221	13.346352845709541			17.63536956225675		15.54982351317186	15.374446785363372	14.798011249994772	14.908359585776118		14.223857679674701		14.047854961017858	14.843606297870787	12.337248753788275			16.19538650536371	15.558461252981513	14.77208653374554		17.408975821664338	15.076971785128753	14.953800214551864	17.039155042006602	14.186927489070777	15.547975511340866	18.39669118443306	13.47735408045178		17.826401364114314		15.097933398568227	15.585997374685865	15.930057465970014	16.459823672554993	14.869515096240974	15.234829273608584	13.336207447730924		14.787330908889075		15.09841292578571	14.47591095197631
ABCD4					13.747220106141024							12.876588048294101	12.575326135092155									13.103249072077674	13.637913149007662	12.697426431952438		12.75718685237867			13.37521559240276			13.044399676969961							13.334762489888604		14.67294030164977				
ABCE1	16.704412447214132	15.52866088327482	17.356407950378422	16.356985703333564	16.763327580839334	17.017767421310435	18.06736752921816	18.039434544919235	16.437894022740007	16.996534502773915	16.73790904811913	18.210439858570542	18.29346336521728	17.709292843695135	17.79855102992974	17.342731045958065	16.140877507401292	16.0776271758339	17.26932424335211	17.27976287860628	18.270945666948883	16.456172532670852	16.717261771524086	16.785265985274833	17.236849310865814	16.232182062848175	16.876392641364447	18.104543336990677	16.5933293987007	17.189541351824285	17.57715253868099	16.768767808180268	15.814678993378925	17.70548909944074	16.96479707196621	18.342081032323403	18.45201884019962	17.922438810043165	17.331718374195557	16.222912624541042	19.66585921644178	17.468499010827717	15.824017898070377	18.235507723395425	16.814928188203385
ABCF1	16.578478625273675	16.872387730015973	17.334170732574336	16.45687159011354	16.64827619521235	17.839556747185107	17.19970854273363	17.72289524120833	16.661217039465427	16.55600720544444	16.575093561118884	17.596694670858877	17.77433731250544	17.54510188910471	17.631487052363926	17.39873963316497	17.47893112126826	16.005870744648398	16.500430966948763	16.088565538646403	17.423399144993702	16.889647075793643	16.386452048296558	15.923364016845866	17.37996852987422	16.081097161817898	17.08675500376148	17.8538964148506	16.481631576787716	17.07260804894812	17.17363961404928	16.05515066383608	15.68278689055239	17.758812045764614	17.3662491086554	17.72503737427946	17.74019230465905	17.47752248177371	17.429821240778065	14.86789308311047	16.367786856250042	17.665599411015528	16.134136410789576	17.4849267490741	15.870357354189215
ABCF2	14.673190166850818	15.56693862894381	14.895509555644654	15.810487956277054	15.175462884235301	16.2205961759646	15.750293327966455	15.582302650163237	16.22487902955148	15.163902578816591	15.523167403710291	15.505033420606217	16.324615528228005	15.748886576863507	15.808093196374957	16.52896039858487	15.868803376163084	15.628492352981283	15.624865751534434	15.99657487430023	15.425564487635494	15.339982018633146	15.445831807862415	15.010393146833845	15.496144788616688	15.936608996406292	16.46087896344296	16.049324242838097	16.06084886518031	15.237171475711992	15.5800988746676	15.387528905939586	14.475740916108258	15.649203970347063	15.828475772332048	15.82796668235715	16.117244442268404	16.054787813372076	15.812265074429943	15.190027841474947		16.312964511202175	15.09130224545085	16.118692973386587	15.577381856658544
ABCF3	14.786442887026206	13.315215627362189	16.512232107055414	16.05955501601841	16.31468066143646	16.622767540597337	15.129260815494066	14.9720631232612	15.762885601519857	15.120622573628305	15.72389459548337	15.866126513499827	16.102585383322513	14.161839662148068	14.575039088701937	15.597812513010794	15.495501089807078	14.476236778892803	13.962110253225589		15.7250230816963	14.996880944382177	15.68142167129505	15.137731796034517	15.515500756973003	15.652427237225211	15.280976925683222	16.22034451260193	15.022966205132514	15.576095645770938	15.439256115154004	15.971029792582256	14.778244106208774	16.71456395643922	14.631531206260103	15.99061050497724	14.38751374584695	14.983968062963468	15.437855662740414	15.688333401799609		16.547991332154304	15.526598124217706	16.118209333563573	14.891997434787548
ABHD10	16.84764543357875	14.886262171731982		16.44961997652681	16.797726529567353	15.224648944393897	16.430513985607725	15.849783743910079	17.072152520650246	15.278265869937355	16.548940402869682	17.46868730637711	16.164230632448945	16.280545472772264	16.30224708480068	15.68993316269677	15.819023405191524		15.705043469182653	15.334516425039268	17.452380946222345	14.957708048726012	16.12469330570178	15.828647251829226	15.662633031653966	16.228142404228766	15.047794029810039	16.2392703275017	16.147257970511625	15.126170874839373	15.287342000516372	16.52665158012376	14.628945685954898	16.378633303799674	15.37647331626756	16.70588689307707	16.901302498822925	16.81047476156724	15.395958521678136	16.842883801091013	16.3186562642037	15.424499173451713	13.002418875612358	14.621909981411124	15.270041225328404
ABHD11	15.59563197741838		16.256595227733808	15.219612718376634	16.797970304025807	16.792543469264647	14.808295726449645	15.406627241124765	15.23669729070104	14.475195575792545	15.134944483993003	16.52369429521081	16.18951022492717	14.541899748053293	16.046598693599613	15.917180029423273	15.86706396529892	12.83745319133388	14.34473769980516		16.301485549431057	15.682253245536314	16.2964163881571	14.88708107135746	17.08360665326228	15.814163192427095	15.712757782897365	16.403894627287535	16.311847165466062	15.069118243463635	15.810542696200306	16.67349156849909	14.632042940562508	16.30844511833419	15.601605493393524	16.50818773929612	16.022175883645417	16.24611525483865	16.178343489988038	15.614087656614222	13.624359036094654	16.74302004696883	14.335426014268497	15.949740671381472	13.965747281821242
ABHD12				12.710747086787066	14.668737356644515		15.330988112113227	15.189048514295072		15.582356166028688	16.755185540943337	16.824899459914462	15.386824744929697	17.017254984778134	15.253807315976061	15.407169438079585	15.669192622528765	16.865151790858366	15.428845853012408	14.319908881944793	15.778362146993464	16.010089661341404	14.738805463222498	14.067158172725742	14.83193064908903	14.984646829959877	14.938091112874627	15.58466944368146	14.31639640300496	14.88768155338403	15.15684897594939	14.399995687026887		15.50449431641486	11.797871265404929	14.813479673700677	15.52869302795269	15.37665960614972	15.269663349449566			16.21991157491717		15.480535833006128	
ABHD14B	18.488949731221798	15.024558299361345	16.57833235042735	17.694379594883284	18.263630572792987	16.40634491581919	15.846153039284689	15.742758596062213	17.735990211496812	16.006348309803816	15.990627087996055	16.97695619526782	17.38523542644823	15.749825049715175	16.578185684439482	16.98510362227184	14.581072844038918		16.704035912419943	15.21653386210449	17.43954220473435		17.397241330893205	17.01678131180763	15.838820841088193	17.456554172829566	15.906216150583344	16.166201265517156	16.572751715848643	15.18664412075853	16.276121510931087	17.794592661006476	17.25460057003929	15.85228864910829	15.89010408629773	17.437836847161908	17.602578852751776	17.07175920331507	16.85592446206792	17.503899728729923	15.81635228277498	16.360574849966618	15.617416817849357	16.76009556493303	17.554673930348553
